id,Window_size,Source_port,Destination_port,First_packet_size,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
1923,8192,51483,80,20.0,4,92,0.018309000000044758,6.43864399999984,2.158830666666593,3.7064271211448063,23.0,6.0,3,64,0.015329000000747328,5926.718104,1977.725551,3419.9293804379595,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1924,8192,51484,80,20.0,4,92,0.01465199999984179,6.1539780000002775,2.0612323333334643,3.5444217246359444,23.0,6.0,3,64,0.01263199999993958,5926.989564,1977.720618333333,3420.168614321605,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1925,8192,51485,443,240.0,22,2499,0.001203999999233929,66.83579499999996,9.779060952380947,23.528665592526693,113.5909090909091,220.6923432962965,28,6052,5.5999999858613585e-05,5927.797223,219.04044992857143,1119.0030017663428,216.14285714285717,397.061774677509,64.0,50,20,1440,171.02,normal,1440.0,1042.0,20.0,20.0
1926,8192,51486,443,215.0,16,1454,0.003026000000318163,10.120324999999868,4.138082533333364,5.0090865462187,90.875,200.94837645524785,19,3594,6.500000017695129e-05,5933.310858,315.53929463157885,1360.413539668014,189.15789473684208,444.27872422086745,64.0,35,20,1440,144.22857142857143,normal,1440.0,815.0,20.0,20.0
1927,8192,51487,443,537.0,70,5910,0.0007409999998344574,10.090787000000091,1.4867648115942111,3.2691198710974425,84.42857142857143,194.1451400466329,166,155890,2.8999999813095204e-05,5961.877972,36.53184056626506,462.68864328113176,939.0963855421687,648.3561519291943,64.0,236,20,1440,685.5932203389832,normal,1440.0,850.0,20.0,20.0
1928,8192,51488,443,537.0,15,1450,0.007037000000309491,10.124719000000367,4.863904571428585,4.792698931781851,96.66666666666669,188.97644096049441,17,2430,9.599999975762327e-05,5962.259029999997,354.71491552941177,1445.038529530044,142.94117647058823,352.71827826684785,64.0,32,20,1440,121.25,normal,1440.0,584.0,20.0,20.0
1929,8192,51489,443,219.0,44,2394,0.0008959999995568069,10.117005000000065,3.7492830232558214,4.7262501469341,54.40909090909091,100.43401586783425,72,53556,3.3999999686784583e-05,5964.712884000001,85.08229026388888,702.6924334592823,743.8333333333335,682.5616827102334,64.0,116,20,1440,482.32758620689657,normal,1440.0,418.0,20.0,20.0
1930,8192,51490,80,439.0,31,1912,0.005423000000519096,10.125170000000251,7.630013433333351,4.196944609890958,61.67741935483871,125.78801932796148,35,7729,8.400000024266774e-05,5965.367189000001,176.97881080000005,1007.2036214410277,220.82857142857142,433.1930343876928,64.0,66,20,1440,146.07575757575756,normal,1440.0,440.0,20.0,20.0
1931,8192,51491,80,20.0,4,92,0.008499999999912689,6.23465699999997,2.0856223333333523,3.5931703668106287,23.0,6.0,3,64,0.010663000000022294,5965.543454,1990.5970473333327,3442.40597457652,21.33333333333333,2.309401076758503,64.0,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
1932,8192,51492,443,219.0,51,2342,0.0011439999998401618,10.109239999999774,3.1806745800000136,4.653963789079483,45.92156862745098,96.34601042850812,137,140150,0.0,5969.825436,44.736063372262784,509.94667846619143,1022.992700729927,622.7026069569927,64.0,188,20,1440,757.936170212766,normal,1440.0,490.0,20.0,20.0
1933,8192,51493,443,219.0,43,2182,0.0014580000006390035,10.113814999999704,3.811425833333337,4.855014397727213,50.74418604651163,104.39761286799612,79,70905,3.099999958067201e-05,5969.827582,77.59363302531646,671.4391364129099,897.5316455696202,667.7812830069713,64.0,122,20,1440,599.0737704918033,normal,1440.0,490.0,20.0,20.0
1934,8192,51494,443,219.0,9,548,0.0035790000001725275,6.766432999999777,0.9366766250000182,2.359198533589096,60.88888888888889,72.05457036934654,10,4660,8.499999967170879e-05,5969.896032,597.7373903,1887.5854373706875,466.0,659.9407380801533,64.0,19,20,1440,274.10526315789474,normal,1440.0,219.0,20.0,20.0
1935,8192,51495,443,253.0,31,1623,0.00046699999984412,67.2303980000006,6.8442053000000085,20.068222058339078,52.354838709677416,60.935237964633004,55,36022,3.100000049016671e-05,5969.913149,112.27662407272726,804.6125609293505,654.9454545454546,682.961753123084,64.0,86,20,1440,437.7325581395349,normal,1440.0,253.0,20.0,20.0
1936,8192,51496,443,253.0,19,1134,0.0005009999995309045,67.47444300000006,11.32402988888887,25.110883255745176,59.68421052631579,62.626807032327044,22,4477,3.500000002532033e-05,5973.649578000001,280.78838459090906,1271.7266420641706,203.5,420.90579762720125,64.0,41,20,1440,136.85365853658536,normal,1440.0,253.0,20.0,20.0
1937,8192,51497,443,209.0,20,2388,0.00032899999951041536,10.091990000000807,3.4977703684210275,4.63561428317425,119.4,240.8343829273553,25,11634,3.600000036385609e-05,5973.899702000002,241.61363172,1194.2339329427755,465.36,629.4136742503559,64.0,45,20,1440,311.6,normal,1440.0,921.0,20.0,20.0
1938,8192,51498,443,257.0,22,1168,0.0020379999996293927,10.118269999999939,5.795044190476153,4.977329974759001,53.09090909090909,88.66035195428681,27,10384,3.6999999792897136e-05,5973.902306,225.76228233333333,1148.7879442207827,384.5925925925926,593.6572605636547,64.0,49,20,1440,235.7551020408164,normal,1440.0,362.0,20.0,20.0
