id,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
2304,17,900,0.001231000000188942,10.092133000000103,7.463917562500001,4.377482376071827,52.94117647058823,129.9223184196211,16,773,0.004666000000725035,6590.78938,419.387289875,1645.7119349906754,48.3125,112.18777042678641,64,33,20,557,50.696969696969695,normal,469.0,557.0,20.0,20.0
2305,18,2511,0.0,10.154051999999865,7.074521470588265,4.630931334774221,139.5,369.4936519394202,17,1132,4.4999999772699084e-05,6590.980779,394.77895582352943,1596.7304193617401,66.58823529411765,191.05989205728443,64,35,20,1480,104.08571428571429,normal,808.0,1480.0,20.0,20.0
2306,17,681,0.0019430000002103043,10.423909999999523,7.499976812499995,4.4677806164987555,40.05882352941177,76.82729868692125,17,1559,0.0036740000005011098,6592.214462,394.8355588235294,1597.0338506157645,91.70588235294117,203.47351323510216,64,34,20,704,65.88235294117646,normal,704.0,338.0,20.0,20.0
2307,4,92,0.009595999999874039,5.983721000000514,2.0035836666666,3.4469022690975444,23.0,6.0,3,64,0.012225999999827764,6592.31868,2199.4394103333334,3804.34621634945,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2308,17,836,0.0015370000000984874,10.094548000000032,7.483908374999999,4.396832293052126,49.1764705882353,114.4040183374898,16,931,0.005715000000236614,6595.742242,419.7175856875,1646.9446600575322,58.1875,151.68661498849087,64,33,20,627,53.54545454545455,normal,627.0,493.0,20.0,20.0
2309,17,861,0.0021660000002157176,10.089179999999942,7.483966124999995,4.401004729419531,50.64705882352941,120.46573225220035,16,931,0.005680000000211294,6595.743957,419.7177176875,1646.9450937759166,58.1875,151.68661498849087,64,33,20,627,54.303030303030305,normal,627.0,518.0,20.0,20.0
2310,17,677,0.0010099999999511056,10.090406000000257,7.483074250000016,4.3982219646968606,39.8235294117647,75.85779071238963,16,1077,0.004746000000523054,6595.762641,419.717655125,1646.9500796422967,67.3125,188.18597848936568,64,33,20,773,53.15151515151515,normal,773.0,334.0,20.0,20.0
2311,17,677,0.0007769999992888188,10.251427000000149,7.482307875000004,4.403440564873514,39.8235294117647,75.85779071238963,16,1077,0.005604000000857923,6595.772025,419.71771475,1646.952611800917,67.3125,188.18597848936568,64,33,20,773,53.15151515151515,normal,773.0,334.0,20.0,20.0
2312,17,679,0.002967999999782478,10.0889389999993,7.48300875000001,4.388641317311152,39.94117647058823,76.34254268446533,16,1054,0.006135999999969499,6595.772987,419.7185513125,1646.9526046349904,65.875,182.4360618591255,64,33,20,750,52.515151515151516,normal,750.0,336.0,20.0,20.0
2313,4,92,0.007762000000184344,6.555857000000287,2.192130000000058,3.779099267076548,23.0,6.0,3,64,0.008176000000275963,6595.798423,2200.788627666667,3806.1915420878345,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
